id,name,wear,rarity,price,steam_price,sell_num,buy_num,rate_7,rate_30,rate_90
39,AK-47 | 深海复仇 (久经沙场),久经沙场,隐秘,236.5,356.31,471,27,-10.59,-15.19,-25.39
40,AK-47 | 深海复仇 (破损不堪),破损不堪,隐秘,228.49,310.31,39,7,-4.76,-11.5,-17.18
41,AK-47 | 黑色层压板 (战痕累累),战痕累累,军规级,300.0,334.88,28,2,27.66,14.2,-8.4
42,AK-47 | 黑色层压板 (崭新出厂),崭新出厂,军规级,2704.07,3614.22,14,3,-2.65,12.67,51.15
43,AK-47 | 黑色层压板 (久经沙场),久经沙场,军规级,225.0,311.68,189,8,-3.95,-13.46,-14.26
44,AK-47 | 黑色层压板 (略有磨损),略有磨损,军规级,449.49,615.11,178,4,-25.34,-33.8,-24.63
45,AK-47 | 黑色层压板 (破损不堪),破损不堪,军规级,347.98,316.91,13,1,20.83,9.09,-18.21
46,AK-47 | 血腥运动 (崭新出厂),崭新出厂,隐秘,1148.9,1722.33,1277,48,-5.63,-12.31,-27.48
47,AK-47 | 血腥运动 (久经沙场),久经沙场,隐秘,824.0,1236.91,776,17,-8.44,-14.08,-21.52
48,AK-47 | 血腥运动 (略有磨损),略有磨损,隐秘,900.0,1366.49,1072,24,-9.0,-13.79,-24.94
49,AK-47 | 血腥运动 (破损不堪),破损不堪,隐秘,914.9,1357.77,27,2,-1.62,-12.53,-15.87
50,AK-47 | 蓝色层压板 (崭新出厂),崭新出厂,受限,430.0,576.51,680,38,-2.45,22.16,83.77
51,AK-47 | 蓝色层压板 (久经沙场),久经沙场,受限,98.0,138.96,786,24,-6.34,-9.17,-21.43
52,AK-47 | 蓝色层压板 (略有磨损),略有磨损,受限,108.5,154.42,1021,30,-1.2,-4.83,-14.43
53,AK-47 | 蓝色层压板 (破损不堪),破损不堪,受限,168.0,204.93,22,1,-1.87,-2.5,-11.53
54,AK-47 | 卡特尔 (战痕累累),战痕累累,保密,103.9,144.53,76,4,-11.75,-11.95,-26.13
55,AK-47 | 卡特尔 (崭新出厂),崭新出厂,保密,395.0,555.0,316,22,-19.96,-32.82,-47.33
56,AK-47 | 卡特尔 (破损不堪),破损不堪,保密,169.0,196.47,15,5,-6.11,-2.86,-3.43
57,AK-47 | 表面淬火 (战痕累累),战痕累累,保密,1198.98,1786.77,128,6,-2.6,-3.69,-11.09
58,AK-47 | 表面淬火 (崭新出厂),崭新出厂,保密,4588.29,7999.0,304,24,-0.54,-26.51,-28.79
59,AK-47 | 表面淬火 (久经沙场),久经沙场,保密,1337.99,2150.75,996,18,-4.36,-9.56,-15.93
60,AK-47 | 表面淬火 (略有磨损),略有磨损,保密,1627.99,2973.15,1103,20,-8.62,-11.04,-14.31
61,AK-47 | 表面淬火 (破损不堪),破损不堪,保密,1198.5,1967.08,310,10,-3.73,-3.31,-11.81
62,AK-47 | 精英之作 (崭新出厂),崭新出厂,军规级,59.5,85.9,767,196,-14.87,-24.49,-33.89
63,AK-47 | 精英之作 (久经沙场),久经沙场,军规级,11.78,17.68,2292,36,-15.08,-22.09,-28.13
64,AK-47 | 精英之作 (略有磨损),略有磨损,军规级,19.6,28.55,2907,80,-4.39,-11.87,-17.99
65,AK-47 | 精英之作 (破损不堪),破损不堪,军规级,10.28,15.65,731,31,3.52,-6.54,-13.39
66,AK-47 | 翡翠细条纹 (战痕累累),战痕累累,受限,17.9,25.46,222,13,-1.65,-3.24,-21.39
67,AK-47 | 翡翠细条纹 (崭新出厂),崭新出厂,受限,197.0,259.99,206,36,0.56,20.49,62.81
68,AK-47 | 翡翠细条纹 (久经沙场),久经沙场,受限,18.18,25.35,679,62,2.13,-3.81,-22.8
69,AK-47 | 翡翠细条纹 (略有磨损),略有磨损,受限,24.4,38.43,477,14,-6.15,-20.78,-23.75
70,AK-47 | 翡翠细条纹 (破损不堪),破损不堪,受限,17.77,25.61,245,12,-5.45,3.29,-25.11
71,AK-47 | 火蛇 (战痕累累),战痕累累,隐秘,3799.5,6827.09,12,1,-2.41,-5.24,-6.97
72,AK-47 | 火蛇 (崭新出厂),崭新出厂,隐秘,14999.5,0,56,6,-11.77,-18.88,-28.57
73,AK-47 | 火蛇 (久经沙场),久经沙场,隐秘,4349.0,7387.43,301,19,-15.48,-19.28,-26.14
74,AK-47 | 火蛇 (略有磨损),略有磨损,隐秘,7000.0,12441.71,303,11,-8.95,-17.55,-30.0
75,AK-47 | 火蛇 (破损不堪),破损不堪,隐秘,4999.0,0,3,1,0,-20.65,-40.62
76,AK-47 | 至高皮革 (战痕累累),战痕累累,受限,990.0,751.78,3,1,52.07,0,50.0
77,AK-47 | 至高皮革 (崭新出厂),崭新出厂,受限,1499.5,2161.21,24,5,-5.51,-6.22,-11.77
78,AK-47 | 至高皮革 (久经沙场),久经沙场,受限,627.97,809.44,19,4,-1.86,-3.95,-12.66
79,AK-47 | 至高皮革 (略有磨损),略有磨损,受限,999.0,1215.43,14,3,1.17,22.87,17.53
80,AK-47 | 至高皮革 (破损不堪),破损不堪,受限,569.9,742.78,8,2,-11.77,-12.07,-33.71
81,AK-47 | 前线迷雾 (战痕累累),战痕累累,保密,124.0,156.42,39,16,3.73,3.33,-9.49
82,AK-47 | 前线迷雾 (崭新出厂),崭新出厂,保密,919.0,1242.43,85,21,-15.8,-28.57,-45.23
83,AK-47 | 前线迷雾 (略有磨损),略有磨损,保密,183.5,298.63,700,54,-9.83,-12.2,-26.89
84,AK-47 | 前线迷雾 (破损不堪),破损不堪,保密,116.8,163.68,63,27,-4.97,-8.32,-12.11
85,AK-47 | 燃料喷射器 (战痕累累),战痕累累,隐秘,738.0,1119.2,123,4,-2.29,-5.38,-14.08
86,AK-47 | 燃料喷射器 (崭新出厂),崭新出厂,隐秘,3195.0,4800.0,217,21,-4.77,-20.86,-39.56
87,AK-47 | 燃料喷射器 (久经沙场),久经沙场,隐秘,987.5,1435.0,765,29,-8.6,-20.19,-38.58
88,AK-47 | 燃料喷射器 (略有磨损),略有磨损,隐秘,1443.0,2111.7,559,25,-4.44,-16.54,-40.25
89,AK-47 | 燃料喷射器 (破损不堪),破损不堪,隐秘,749.0,1220.53,189,9,-14.83,-19.85,-27.84
90,AK-47 | 水栽竹 (战痕累累),战痕累累,保密,6000.0,9148.22,6,7,0,-3.15,-6.62
91,AK-47 | 水栽竹 (崭新出厂),崭新出厂,保密,33200.0,0,129,5,-9.04,-15.88,-8.0
92,AK-47 | 水栽竹 (久经沙场),久经沙场,保密,9600.0,0,54,3,-4.0,-13.51,-6.71
93,AK-47 | 水栽竹 (略有磨损),略有磨损,保密,15000.0,0,83,11,-8.53,-17.36,-13.29
95,AK-47 | 美洲猛虎 (战痕累累),战痕累累,隐秘,515.47,739.48,15,3,-14.07,-5.59,-12.72
96,AK-47 | 美洲猛虎 (崭新出厂),崭新出厂,隐秘,4500.0,6500.0,34,4,-13.46,-19.64,0
97,AK-47 | 美洲猛虎 (久经沙场),久经沙场,隐秘,509.48,808.8,121,8,-7.87,-14.23,-14.94
98,AK-47 | 美洲猛虎 (略有磨损),略有磨损,隐秘,1128.5,1474.04,60,7,-13.12,-22.58,-25.89
99,AK-47 | 美洲猛虎 (破损不堪),破损不堪,隐秘,500.0,767.25,18,2,-1.96,-9.67,-12.2
100,AK-47 | 酷炫涂鸦皮革 (战痕累累),战痕累累,保密,2300.0,4029.23,6,1,0,-20.35,-20.36
101,AK-47 | 酷炫涂鸦皮革 (崭新出厂),崭新出厂,保密,7990.0,0,11,2,0,1.27,-7.08
102,AK-47 | 酷炫涂鸦皮革 (久经沙场),久经沙场,保密,2090.0,3587.85,26,4,-8.65,-15.69,-23.97
103,AK-47 | 酷炫涂鸦皮革 (略有磨损),略有磨损,保密,2599.5,4605.35,30,6,-16.89,-23.93,-31.52
104,AK-47 | 酷炫涂鸦皮革 (破损不堪),破损不堪,保密,2699.99,3796.7,4,3,25.58,9.09,3.85
105,AK-47 | 丛林涂装 (战痕累累),战痕累累,工业级,60.91,76.43,42,4,-1.98,-2.12,17.2
106,AK-47 | 丛林涂装 (崭新出厂),崭新出厂,工业级,1099.99,1670.56,9,3,0,-6.7,-6.7
107,AK-47 | 丛林涂装 (久经沙场),久经沙场,工业级,70.93,109.91,156,11,-22.82,-38.05,-19.31
108,AK-47 | 丛林涂装 (略有磨损),略有磨损,工业级,260.69,402.52,96,12,-9.79,-21.6,15.35
109,AK-47 | 丛林涂装 (破损不堪),破损不堪,工业级,64.18,105.23,12,3,0,-16.41,11.62
110,AK-47 | 霓虹革命 (战痕累累),战痕累累,隐秘,660.0,891.57,20,3,-1.49,-9.42,-14.23
111,AK-47 | 霓虹革命 (崭新出厂),崭新出厂,隐秘,1560.0,2211.58,109,10,-4.88,-18.47,-47.1
112,AK-47 | 霓虹革命 (久经沙场),久经沙场,隐秘,643.5,959.07,311,47,-12.98,-14.2,-19.06
113,AK-47 | 霓虹革命 (略有磨损),略有磨损,隐秘,688.0,1093.49,327,28,-7.78,-11.57,-14.53
114,AK-47 | 霓虹革命 (破损不堪),破损不堪,隐秘,756.97,914.82,9,3,9.71,-0.33,-5.38
115,AK-47 | 轨道 Mk01 (战痕累累),战痕累累,受限,187.0,247.17,19,5,-0.53,-11.25,-24.9
116,AK-47 | 轨道 Mk01 (久经沙场),久经沙场,受限,170.0,236.9,276,19,-9.96,-15.84,-30.61
117,AK-47 | 轨道 Mk01 (略有磨损),略有磨损,受限,216.0,305.27,323,24,-1.82,-21.31,-46.0
118,AK-47 | 轨道 Mk01 (破损不堪),破损不堪,受限,207.5,277.64,13,1,-2.26,-6.28,-26.91
119,AK-47 | 混沌点阵 (战痕累累),战痕累累,保密,96.36,123.51,28,5,1.43,-5.03,-21.98
120,AK-47 | 混沌点阵 (崭新出厂),崭新出厂,保密,460.0,650.0,442,32,-13.76,-21.3,-42.32
121,AK-47 | 混沌点阵 (久经沙场),久经沙场,保密,87.9,128.11,1027,87,-7.38,-12.1,-24.55
122,AK-47 | 混沌点阵 (略有磨损),略有磨损,保密,138.0,190.0,1158,72,-8.1,-16.36,-24.38
123,AK-47 | 混沌点阵 (破损不堪),破损不堪,保密,102.2,141.46,21,3,0,-16.89,-31.64
124,AK-47 | 捕食者 (战痕累累),战痕累累,工业级,56.71,86.67,29,2,-8.66,-29.19,-38.11
125,AK-47 | 捕食者 (崭新出厂),崭新出厂,工业级,610.98,683.49,9,5,-0.49,-4.53,-10.0
126,AK-47 | 捕食者 (久经沙场),久经沙场,工业级,60.81,86.31,103,17,2.13,-18.36,-30.1
127,AK-47 | 捕食者 (略有磨损),略有磨损,工业级,108.39,167.48,62,29,-20.86,-34.47,-18.2
128,AK-47 | 捕食者 (破损不堪),破损不堪,工业级,86.84,102.17,14,2,-0.17,1.69,-3.42
129,AK-47 | 红色层压板 (战痕累累),战痕累累,保密,438.9,569.25,32,2,-0.9,-4.73,-9.97
130,AK-47 | 红色层压板 (崭新出厂),崭新出厂,保密,4099.99,9140.36,11,2,0,-1.18,-2.38
131,AK-47 | 红色层压板 (久经沙场),久经沙场,保密,399.0,596.65,324,25,-3.74,-11.32,-10.14
132,AK-47 | 红色层压板 (略有磨损),略有磨损,保密,1097.78,1500.0,100,10,-8.0,-8.87,-25.33
133,AK-47 | 红色层压板 (破损不堪),破损不堪,保密,446.4,594.61,28,4,-11.64,5.68,1.92
134,AK-47 | 红线 (战痕累累),战痕累累,保密,170.0,239.77,106,24,-10.53,-17.39,-18.56
135,AK-47 | 红线 (久经沙场),久经沙场,保密,194.5,283.86,11461,222,-3.23,-8.26,-18.96
136,AK-47 | 红线 (略有磨损),略有磨损,保密,970.0,1499.0,1186,40,-9.35,-18.76,-31.38
137,AK-47 | 红线 (破损不堪),破损不堪,保密,168.5,240.55,110,16,-10.07,-21.45,-23.41
138,AK-47 | 狩猎网格 (战痕累累),战痕累累,工业级,0.38,0.82,965,166,11.77,-19.15,-15.56
139,AK-47 | 狩猎网格 (崭新出厂),崭新出厂,工业级,90.0,139.69,181,89,-18.17,-7.2,13.94
140,AK-47 | 狩猎网格 (久经沙场),久经沙场,工业级,0.37,0.77,4945,810,11.77,5.56,-20.83
141,AK-47 | 狩猎网格 (略有磨损),略有磨损,工业级,1.43,2.6,2062,211,-7.74,-9.49,19.17
142,AK-47 | 狩猎网格 (破损不堪),破损不堪,工业级,0.44,0.77,219,99,10.0,-2.22,-4.35
143,AK-47 | 皇后 (战痕累累),战痕累累,隐秘,575.0,823.33,66,19,-3.31,-9.83,-9.23
144,AK-47 | 皇后 (崭新出厂),崭新出厂,隐秘,1550.0,2210.0,205,11,-9.62,-22.27,-38.49
145,AK-47 | 皇后 (久经沙场),久经沙场,隐秘,594.59,888.45,646,61,-7.65,-7.65,-13.74
146,AK-47 | 皇后 (略有磨损),略有磨损,隐秘,608.49,944.56,715,31,-6.89,-10.38,-13.07
147,AK-47 | 皇后 (破损不堪),破损不堪,隐秘,570.77,885.23,69,7,-3.53,-18.45,-14.17
148,AK-47 | 火神 (战痕累累),战痕累累,隐秘,759.9,1102.94,81,6,0,-3.48,-13.9
149,AK-47 | 火神 (崭新出厂),崭新出厂,隐秘,4160.0,6364.05,810,25,-2.12,-13.03,-22.95
150,AK-47 | 火神 (久经沙场),久经沙场,隐秘,1187.99,1750.0,1050,41,-7.51,-10.34,-22.71
151,AK-47 | 火神 (略有磨损),略有磨损,隐秘,2399.0,3778.68,1209,22,-7.21,-13.36,-21.27
152,AK-47 | 火神 (破损不堪),破损不堪,隐秘,889.99,1275.59,26,6,-1.11,-8.9,-14.04
153,AK-47 | 荒野反叛 (战痕累累),战痕累累,隐秘,525.0,716.03,15,5,0,-4.56,-19.17
154,AK-47 | 荒野反叛 (崭新出厂),崭新出厂,隐秘,2700.0,4500.0,23,5,-2.98,-8.15,-22.86
155,AK-47 | 荒野反叛 (久经沙场),久经沙场,隐秘,490.0,704.17,143,18,-5.13,-10.09,-16.17
156,AK-47 | 荒野反叛 (略有磨损),略有磨损,隐秘,650.0,1031.23,100,8,-19.0,-31.58,-36.89
157,AK-47 | 荒野反叛 (破损不堪),破损不堪,隐秘,650.0,785.7,3,4,6.68,6.56,10.17
158,AUG | 秋叶原之选 (战痕累累),战痕累累,隐秘,1975.4,2733.58,5,4,9.74,0.2,-1.12
159,AUG | 秋叶原之选 (崭新出厂),崭新出厂,隐秘,25199.0,0,37,5,-4.69,-3.08,0
160,AUG | 秋叶原之选 (久经沙场),久经沙场,隐秘,3300.0,5011.67,36,6,-3.73,-8.59,-17.09
161,AUG | 秋叶原之选 (略有磨损),略有磨损,隐秘,7100.0,0,44,4,0.71,-6.58,-17.44
162,AUG | 秋叶原之选 (破损不堪),破损不堪,隐秘,1998.5,3004.45,7,2,-18.43,-21.63,-27.07
163,AUG | 深蓝电镀处理 (崭新出厂),崭新出厂,军规级,267.47,384.01,57,6,-2.31,-14.55,7.22
164,AUG | 深蓝电镀处理 (略有磨损),略有磨损,军规级,666.0,914.82,1,1,0,32.14,88.66
165,AUG | 贵族 (崭新出厂),崭新出厂,受限,100.97,133.59,137,10,-18.82,-7.32,108.1
166,AUG | 贵族 (久经沙场),久经沙场,受限,6.96,11.85,211,17,-11.45,-16.75,-12.01
167,AUG | 贵族 (略有磨损),略有磨损,受限,12.7,19.73,161,17,-2.31,-1.55,-14.94
168,AUG | 贵族 (破损不堪),破损不堪,受限,7.83,11.89,26,16,-2.0,-7.88,-11.32
169,AUG | 孟加拉猛虎 (战痕累累),战痕累累,保密,94.77,127.34,13,1,-0.12,-0.12,9.06
170,AUG | 孟加拉猛虎 (崭新出厂),崭新出厂,保密,663.15,806.41,13,7,-5.26,-0.43,2.81
171,AUG | 孟加拉猛虎 (久经沙场),久经沙场,保密,83.0,115.36,56,5,5.75,-3.32,1.98
172,AUG | 孟加拉猛虎 (略有磨损),略有磨损,保密,222.49,328.36,51,3,-6.77,-5.44,-15.24
173,AUG | 孟加拉猛虎 (破损不堪),破损不堪,保密,107.7,119.39,6,1,-0.55,-17.15,26.71
174,AUG | 变色龙 (战痕累累),战痕累累,隐秘,456.0,750.44,5,2,-12.31,-18.35,-27.62
175,AUG | 变色龙 (崭新出厂),崭新出厂,隐秘,549.5,842.88,159,67,-9.73,-19.78,-17.92
176,AUG | 变色龙 (久经沙场),久经沙场,隐秘,428.0,717.27,46,13,-15.63,-20.88,-27.21
177,AUG | 变色龙 (略有磨损),略有磨损,隐秘,449.0,776.52,128,11,-13.32,-17.16,-23.9
178,AUG | 变色龙 (破损不堪),破损不堪,隐秘,568.0,777.59,11,4,-1.98,-1.98,1.79
179,AUG | 殖民侵略者 (战痕累累),战痕累累,消费级,18.87,26.25,8,2,-1.05,-5.32,-50.34
180,AUG | 殖民侵略者 (崭新出厂),崭新出厂,消费级,127.0,345.0,3,3,0,-2.3,-7.86
181,AUG | 殖民侵略者 (久经沙场),久经沙场,消费级,17.36,22.14,16,9,-3.93,-16.38,-26.97
182,AUG | 殖民侵略者 (略有磨损),略有磨损,消费级,13.16,29.99,8,1,-46.81,-60.7,-58.85
183,AUG | 殖民侵略者 (破损不堪),破损不堪,消费级,44.7,27.43,10,1,-0.45,-4.67,11.75
184,AUG | 众枪之的 (战痕累累),战痕累累,工业级,0.32,0.54,81,102,39.13,10.35,39.13
185,AUG | 众枪之的 (崭新出厂),崭新出厂,工业级,55.0,74.81,31,10,-1.67,14.34,512.67
186,AUG | 众枪之的 (破损不堪),破损不堪,工业级,0.31,0.56,50,68,-47.46,6.9,34.78
187,AUG | 雇佣兵 (战痕累累),战痕累累,消费级,0.06,0.23,141,181,-45.45,-14.29,-14.29
188,AUG | 雇佣兵 (崭新出厂),崭新出厂,消费级,10.88,19.1,60,42,-51.99,-55.35,138.6
189,AUG | 雇佣兵 (久经沙场),久经沙场,消费级,0.04,0.21,492,1023,-55.56,-42.86,-33.33
190,AUG | 雇佣兵 (略有磨损),略有磨损,消费级,0.37,0.62,209,413,42.31,12.12,117.65
191,AUG | 雇佣兵 (破损不堪),破损不堪,消费级,0.15,0.28,62,194,50.0,114.29,87.5
192,AUG | 铜斑蛇 (久经沙场),久经沙场,军规级,587.99,852.43,4,2,0,-2.81,-6.66
193,AUG | 铜斑蛇 (略有磨损),略有磨损,军规级,795.9,1128.52,6,1,-0.25,32.65,-11.46
194,AUG | 代达罗斯之殇 (崭新出厂),崭新出厂,消费级,58.11,88.89,45,13,-10.01,-11.97,45.35
195,AUG | 代达罗斯之殇 (久经沙场),久经沙场,消费级,32.0,43.33,34,3,-8.52,-21.76,-3.61
196,AUG | 代达罗斯之殇 (略有磨损),略有磨损,消费级,42.99,55.14,9,6,-13.13,-13.13,16.25
197,AUG | 代达罗斯之殇 (破损不堪),破损不堪,消费级,31.8,44.11,7,1,-0.31,-20.26,-31.61
198,AUG | 燕群 (战痕累累),战痕累累,保密,69.0,99.02,26,2,-3.82,-13.84,-17.76
199,AUG | 燕群 (久经沙场),久经沙场,保密,66.9,100.88,137,3,-12.54,-22.2,-23.89
200,AUG | 燕群 (略有磨损),略有磨损,保密,73.9,111.36,124,26,-4.89,-22.13,-21.68
201,AUG | 燕群 (破损不堪),破损不堪,保密,70.0,99.19,28,4,-3.95,-18.3,-20.45
202,AUG | 赤红新星 (崭新出厂),崭新出厂,军规级,3488.0,4315.87,25,3,24.59,14.51,12.88
203,AUG | 辐射危机 (战痕累累),战痕累累,工业级,24.97,26.02,14,1,-7.45,-9.92,-33.41
204,AUG | 辐射危机 (崭新出厂),崭新出厂,工业级,93.0,118.93,69,4,-36.51,-46.86,55.03
205,AUG | 辐射危机 (久经沙场),久经沙场,工业级,21.53,27.43,43,11,-8.85,-11.76,-22.53
206,AUG | 辐射危机 (略有磨损),略有磨损,工业级,32.52,57.97,38,5,-23.65,-40.27,-28.18
207,AUG | 辐射危机 (破损不堪),破损不堪,工业级,27.71,27.34,16,2,0,21.06,-20.56
208,AUG | 弹跳线条 (战痕累累),战痕累累,军规级,0.97,1.96,41,49,-17.8,-11.01,-22.4
209,AUG | 弹跳线条 (崭新出厂),崭新出厂,军规级,16.21,20.51,203,53,-20.73,-55.84,109.7
210,AUG | 弹跳线条 (久经沙场),久经沙场,军规级,1.23,2.55,84,154,8.85,23.0,5.13
211,AUG | 弹跳线条 (略有磨损),略有磨损,军规级,2.13,3.77,205,61,-2.29,-14.11,-6.58
212,AUG | 弹跳线条 (破损不堪),破损不堪,军规级,1.46,2.31,15,31,5.04,-1.35,3.55
213,AUG | 暴风呼啸 (战痕累累),战痕累累,消费级,0.13,0.33,165,70,30.0,333.33,225.0
215,AUG | 暴风呼啸 (久经沙场),久经沙场,消费级,0.07,0.3,802,773,40.0,-12.5,40.0
216,AUG | 暴风呼啸 (略有磨损),略有磨损,消费级,0.38,0.78,2928,468,-15.56,-9.52,0
217,AUG | 暴风呼啸 (破损不堪),破损不堪,消费级,0.2,0.54,87,69,17.65,233.33,300.0
218,AUG | 席德.米德 (战痕累累),战痕累累,保密,62.8,94.59,36,29,-12.66,-15.71,-17.37
219,AUG | 席德.米德 (崭新出厂),崭新出厂,保密,163.0,267.2,116,10,-23.43,-31.37,-31.48
220,AUG | 席德.米德 (久经沙场),久经沙场,保密,65.4,90.93,256,64,-10.66,-18.1,-15.88
221,AUG | 席德.米德 (略有磨损),略有磨损,保密,68.99,100.0,232,41,-7.2,-18.16,-14.72
222,AUG | 席德.米德 (破损不堪),破损不堪,保密,67.99,95.04,28,3,-8.11,-16.47,-10.54
223,AUG | 力矩 (战痕累累),战痕累累,受限,77.9,65.95,3,1,-0.13,-0.13,81.16
224,AUG | 力矩 (崭新出厂),崭新出厂,受限,85.99,112.21,97,25,-11.69,-29.22,-17.7
225,AUG | 力矩 (久经沙场),久经沙场,受限,42.21,57.29,45,7,-13.68,-4.44,2.75
226,AUG | 力矩 (略有磨损),略有磨损,受限,54.63,70.58,45,74,-9.55,-28.02,-34.89
227,AUG | 力矩 (破损不堪),破损不堪,受限,64.84,62.34,8,1,-0.09,17.91,37.29
228,AUG | 三角战术 (战痕累累),战痕累累,军规级,0.99,1.62,47,150,28.57,8.79,7.61
229,AUG | 三角战术 (久经沙场),久经沙场,军规级,1.26,3.14,115,191,-24.1,0.8,-28.0
230,AUG | 三角战术 (略有磨损),略有磨损,军规级,1.29,3.1,221,149,-28.33,-49.8,-27.93
231,AUG | 三角战术 (破损不堪),破损不堪,军规级,0.97,1.59,36,111,6.59,-3.0,6.59
232,AUG | 鹰翼 (崭新出厂),崭新出厂,军规级,116.93,158.02,137,35,-16.48,-31.19,-7.51
233,AUG | 鹰翼 (略有磨损),略有磨损,军规级,115.79,172.63,26,10,-10.94,-12.26,-10.28
234,AWP | 二西莫夫 (战痕累累),战痕累累,隐秘,486.88,714.74,796,50,-7.26,-11.4,-15.31
235,AWP | 二西莫夫 (久经沙场),久经沙场,隐秘,739.0,1086.75,2212,89,-7.2,-10.37,-16.48
236,AWP | 二西莫夫 (破损不堪),破损不堪,隐秘,581.91,885.23,390,12,-2.77,-4.53,-13.13
237,AWP | *嘣* (崭新出厂),崭新出厂,保密,3121.36,5449.23,43,3,-1.53,-16.65,-22.9
238,AWP | *嘣* (久经沙场),久经沙场,保密,765.0,1034.21,81,10,-2.92,-7.61,-12.77
239,AWP | *嘣* (略有磨损),略有磨损,保密,1050.0,1439.84,329,15,-4.85,-2.33,-5.41
240,AWP | 珊瑚树 (崭新出厂),崭新出厂,保密,1300.0,1708.46,53,4,-23.22,-31.4,-37.15
241,AWP | 珊瑚树 (久经沙场),久经沙场,保密,154.5,227.3,116,8,-2.21,-11.71,-20.36
242,AWP | 珊瑚树 (略有磨损),略有磨损,保密,170.0,225.35,404,27,-7.85,-18.27,-24.43
243,AWP | 巨龙传说 (战痕累累),战痕累累,隐秘,34986.5,0,6,10,-0.03,-2.06,-2.54
244,AWP | 巨龙传说 (久经沙场),久经沙场,隐秘,43300.0,0,52,4,-3.77,-6.48,-8.84
245,AWP | 巨龙传说 (略有磨损),略有磨损,隐秘,57777.0,0,69,7,-7.96,-6.31,-12.33
246,AWP | 电子蜂巢 (崭新出厂),崭新出厂,保密,860.0,1225.13,232,17,-12.82,-10.23,-6.39
