id,name,wear,rarity,price,steam_price,sell_num,buy_num,rate_7,rate_30,inventory
34,双持贝瑞塔 | 雇佣兵 (久经沙场),久经沙场,消费级,0.03,0.21,860,795,,+50.00,4130610
35,AK-47 | 卡特尔 (久经沙场),久经沙场,保密,112.8,156.92,793,70,+4.93,-2.34,106160
36,双持贝瑞塔 | 殖民侵略者 (战痕累累),战痕累累,消费级,0.12,0.22,73,168,-7.69,+50.00,609489
37,AK-47 | 深海复仇 (战痕累累),战痕累累,隐秘,229.37,316.95,35,11,-5.61,-4.65,16370
38,AK-47 | 深海复仇 (崭新出厂),崭新出厂,隐秘,1529.0,2136.43,128,13,+21.93,-4.38,12966
39,AK-47 | 深海复仇 (久经沙场),久经沙场,隐秘,255.4,379.89,453,47,+8.22,-5.41,57861
40,AK-47 | 深海复仇 (破损不堪),破损不堪,隐秘,221.29,304.8,50,14,-3.06,-7.65,22024
41,AK-47 | 黑色层压板 (战痕累累),战痕累累,军规级,225.0,338.12,33,4,-25.00,-5.58,1804
42,AK-47 | 黑色层压板 (崭新出厂),崭新出厂,军规级,2704.07,3480.68,14,3,,-3.43,361
43,AK-47 | 黑色层压板 (久经沙场),久经沙场,军规级,213.98,316.53,193,6,-4.69,-16.71,8988
44,AK-47 | 黑色层压板 (略有磨损),略有磨损,军规级,632.34,727.49,182,7,+37.38,-19.50,8805
45,AK-47 | 黑色层压板 (破损不堪),破损不堪,军规级,347.46,359.42,15,2,-0.15,+8.96,1110
46,AK-47 | 血腥运动 (崭新出厂),崭新出厂,隐秘,1237.0,1754.96,1220,50,+7.45,-4.23,63329
47,AK-47 | 血腥运动 (久经沙场),久经沙场,隐秘,879.0,1272.15,713,17,+5.97,-5.48,60991
48,AK-47 | 血腥运动 (略有磨损),略有磨损,隐秘,982.0,1403.94,1051,36,+3.48,-4.47,69024
49,AK-47 | 血腥运动 (破损不堪),破损不堪,隐秘,875.5,1226.5,25,11,-1.63,-12.80,5859
50,AK-47 | 蓝色层压板 (崭新出厂),崭新出厂,受限,597.0,870.45,513,16,+33.07,+50.89,78439
150,AK-47 | 火神 (久经沙场),久经沙场,隐秘,1244.5,1855.61,1008,52,+2.98,-6.60,43117
251,AWP | 精英之作 (久经沙场),久经沙场,保密,86.0,129.58,258,25,+5.73,-7.52,51427
252,AWP | 精英之作 (略有磨损),略有磨损,保密,148.5,207.94,206,29,+6.07,-17.50,30538
253,AWP | 精英之作 (破损不堪),破损不堪,保密,88.13,130.89,30,3,+0.41,-1.07,16305
254,AWP | 浮生如梦 (战痕累累),战痕累累,保密,85.03,120.99,69,5,-3.34,-14.66,12286
255,AWP | 浮生如梦 (崭新出厂),崭新出厂,保密,215.5,300.0,491,57,+38.14,+13.72,84996
256,AWP | 浮生如梦 (久经沙场),久经沙场,保密,85.0,124.29,317,40,+2.56,-10.43,124823
257,AWP | 浮生如梦 (略有磨损),略有磨损,保密,99.0,142.76,497,63,+4.22,-4.35,143381
258,AWP | 浮生如梦 (破损不堪),破损不堪,保密,90.53,122.39,21,2,-0.52,-29.80,9156
259,AWP | 石墨黑 (崭新出厂),崭新出厂,保密,1314.0,1902.63,499,29,+24.55,+1.12,27421
260,AWP | 石墨黑 (略有磨损),略有磨损,保密,1097.5,1653.32,40,10,-4.48,-12.90,2331
261,AWP | 暴怒野兽 (战痕累累),战痕累累,隐秘,234.99,316.56,101,13,+14.75,-6.18,16967
262,AWP | 暴怒野兽 (崭新出厂),崭新出厂,隐秘,1448.5,2099.99,113,13,+17.34,-2.46,12543
263,AWP | 暴怒野兽 (久经沙场),久经沙场,隐秘,225.49,350.99,245,21,-0.20,-7.66,56369
264,AWP | 暴怒野兽 (略有磨损),略有磨损,隐秘,327.0,498.77,239,28,-0.12,-10.41,32291
265,AWP | 暴怒野兽 (破损不堪),破损不堪,隐秘,208.98,308.03,51,2,-10.52,-14.88,22192
266,AWP | 雷击 (崭新出厂),崭新出厂,隐秘,3380.0,5159.61,520,30,-1.44,-9.84,22435
267,AWP | 雷击 (略有磨损),略有磨损,隐秘,3780.0,7006.53,13,5,+5.00,-1.82,652
268,AWP | 无畏战神 (久经沙场),久经沙场,隐秘,688.0,1139.43,49,19,-1.71,-17.11,10323
269,AWP | 无畏战神 (略有磨损),略有磨损,隐秘,774.3,1107.84,495,48,+10.77,-4.29,82265
270,AWP | 美杜莎 (战痕累累),战痕累累,隐秘,13500.0,0,9,4,,,450
271,AWP | 美杜莎 (久经沙场),久经沙场,隐秘,14300.0,0,20,8,,-7.44,962
272,AWP | 美杜莎 (略有磨损),略有磨损,隐秘,18731.69,0,33,6,-0.82,-6.34,710
273,AWP | 美杜莎 (破损不堪),破损不堪,隐秘,13499.9,0,7,7,+3.86,+2.66,695
275,AWP | 鬼退治 (崭新出厂),崭新出厂,隐秘,5690.0,8594.03,110,12,+18.52,-5.83,6879
276,AWP | 鬼退治 (久经沙场),久经沙场,隐秘,2069.0,3009.98,77,7,+14.98,-1.38,6604
277,AWP | 鬼退治 (略有磨损),略有磨损,隐秘,2850.0,4597.5,99,7,+11.88,-5.92,6587
278,AWP | 鬼退治 (破损不堪),破损不堪,隐秘,2777.0,3956.32,2,7,+36.83,+4.81,527
279,AWP | 火卫一 (崭新出厂),崭新出厂,受限,52.0,78.15,620,150,+55.29,+19.92,168762
280,AWP | 火卫一 (久经沙场),久经沙场,受限,14.47,20.4,442,162,+1.62,-8.94,193038
281,AWP | 火卫一 (略有磨损),略有磨损,受限,17.5,23.31,662,70,+10.13,+3.55,275196
282,AWP | 火卫一 (破损不堪),破损不堪,受限,27.76,35.31,18,3,-5.80,-38.31,6214
283,AWP | 粉红 DDPAT (战痕累累),战痕累累,受限,214.5,313.86,29,8,-13.99,-24.20,1588
284,AWP | 粉红 DDPAT (崭新出厂),崭新出厂,受限,1324.17,1971.94,16,3,-6.67,-17.23,1166
285,AWP | 粉红 DDPAT (久经沙场),久经沙场,受限,224.8,320.56,90,7,+17.55,-20.79,13517
286,AWP | 粉红 DDPAT (略有磨损),略有磨损,受限,363.9,552.0,91,7,-10.92,-39.25,9298
287,AWP | 粉红 DDPAT (破损不堪),破损不堪,受限,257.13,324.48,6,2,-0.40,-2.33,1364
288,AWP | 响尾蛇 (战痕累累),战痕累累,受限,6.99,10.55,163,24,+0.87,-17.67,30886
289,AWP | 响尾蛇 (久经沙场),久经沙场,受限,5.77,8.66,1582,201,+9.02,+2.07,641351
290,AWP | 响尾蛇 (略有磨损),略有磨损,受限,11.22,15.69,1668,269,+22.99,+11.80,449295
291,AWP | 响尾蛇 (破损不堪),破损不堪,受限,7.66,10.19,114,23,-11.85,-13.45,42718
292,AWP | 红线 (久经沙场),久经沙场,保密,245.0,382.12,1007,34,+4.70,-6.84,70666
293,AWP | 红线 (略有磨损),略有磨损,保密,497.48,714.98,1089,36,+11.79,-1.49,52766
294,AWP | 红线 (破损不堪),破损不堪,保密,325.7,415.64,8,5,-6.68,-6.94,1193
295,AWP | 狩猎网格 (战痕累累),战痕累累,工业级,1.15,1.81,3076,735,+16.84,+12.12,450393
296,AWP | 狩猎网格 (崭新出厂),崭新出厂,工业级,117.94,169.01,105,50,+24.15,-0.60,21801
297,AWP | 狩猎网格 (久经沙场),久经沙场,工业级,0.83,1.4,1391,299,+1.22,-4.60,1839836
298,AWP | 狩猎网格 (略有磨损),略有磨损,工业级,2.08,3.36,779,113,-3.26,+4.00,482968
299,AWP | 狩猎网格 (破损不堪),破损不堪,工业级,0.88,1.46,235,81,-24.79,-20.00,215171
486,CZ75 | 梅红时刻 (久经沙场),久经沙场,保密,121.5,167.79,9,3,-0.82,-9.87,2971
487,CZ75 | 梅红时刻 (略有磨损),略有磨损,保密,125.6,198.58,46,10,-7.65,-5.20,3765
488,CZ75 | 梅红时刻 (破损不堪),破损不堪,保密,878.72,197.82,5,1,,,154
489,CZ75 | 猛虎 (战痕累累),战痕累累,受限,12.4,17.44,14,30,+1.72,-11.74,27057
490,CZ75 | 猛虎 (崭新出厂),崭新出厂,受限,72.92,108.19,90,23,+22.52,-30.10,20574
491,CZ75 | 猛虎 (久经沙场),久经沙场,受限,12.35,18.53,109,20,+2.92,-15.12,119695
492,CZ75 | 猛虎 (略有磨损),略有磨损,受限,16.75,26.39,121,56,+12.04,-1.93,79987
493,CZ75 | 猛虎 (破损不堪),破损不堪,受限,12.35,17.48,36,38,,-12.04,48151
494,CZ75 | 花纹钢板 (崭新出厂),崭新出厂,受限,133.88,170.5,74,7,+45.52,+6.76,10802
495,CZ75 | 花纹钢板 (久经沙场),久经沙场,受限,45.0,52.64,5,2,,-2.17,1056
496,CZ75 | 花纹钢板 (略有磨损),略有磨损,受限,37.19,54.57,27,9,-1.56,-13.25,4467
497,CZ75 | 燕尾 (战痕累累),战痕累累,军规级,1.55,2.77,46,4,-26.89,-32.90,54848
498,CZ75 | 燕尾 (崭新出厂),崭新出厂,军规级,27.9,36.94,208,29,+67.07,+51.38,137005
499,CZ75 | 燕尾 (久经沙场),久经沙场,军规级,1.97,3.36,268,138,-12.44,-1.00,307145
500,CZ75 | 燕尾 (略有磨损),略有磨损,军规级,8.89,10.16,106,72,+85.98,+61.93,180246
522,系列 2 收藏胸章胶囊,,普通级,48.9,74.43,30,148,+6.22,-4.38,
523,2016年科隆锦标赛死城之谜纪念包,,普通级,535.0,1157.93,2,4,,,
524,2016年科隆锦标赛挑战组（全息/闪亮）,,普通级,276.5,416.88,86,45,-4.57,-1.96,
525,2016年科隆锦标赛古堡激战纪念包,,普通级,7235.0,8870.18,11,5,-11.67,-23.53,
526,2016年科隆锦标赛炙热沙城 II 纪念包,,普通级,1999.0,514.39,1,2,,,
527,2016年科隆锦标赛传奇（全息/闪亮）,,普通级,188.0,298.65,71,42,-14.15,-19.66,
528,2016年科隆锦标赛荒漠迷城纪念包,,普通级,999.48,549.27,4,4,+0.11,-7.69,
529,2016年科隆锦标赛核子危机纪念包,,普通级,0,1186.83,0,100,,,
530,2016年科隆锦标赛死亡游乐园纪念包,,普通级,1799.5,858.99,3,2,,,
531,2016年科隆锦标赛列车停放站纪念包,,普通级,249.5,269.16,11,5,+0.24,+0.24,
532,社区涂鸦箱 1,,普通级,5.29,7.89,67,3,-5.29,+8.19,
533,1 号社区印花胶囊,,普通级,15.5,25.83,496,88,+2.72,-10.46,
601,沙漠之鹰 | 飞行员 (崭新出厂),崭新出厂,受限,1391.4,2586.09,48,9,-4.10,-7.24,1235
602,沙漠之鹰 | 飞行员 (略有磨损),略有磨损,受限,797.99,1525.16,40,6,-1.36,-10.79,1472
603,沙漠之鹰 | 飞行员 (破损不堪),破损不堪,受限,659.5,710.29,7,3,-15.44,-15.42,593
604,沙漠之鹰 | 日落风暴 壱 (崭新出厂),崭新出厂,受限,4000.0,6808.34,38,8,+3.94,-18.37,2925
605,沙漠之鹰 | 日落风暴 壱 (久经沙场),久经沙场,受限,4000.0,4826.68,2,2,,-11.11,532
606,沙漠之鹰 | 日落风暴 壱 (略有磨损),略有磨损,受限,5500.0,7686.98,2,2,,,636
607,沙漠之鹰 | 日落风暴 弐 (崭新出厂),崭新出厂,受限,3888.0,5855.22,33,7,+4.49,-20.65,2952
608,沙漠之鹰 | 日落风暴 弐 (久经沙场),久经沙场,受限,4200.0,5110.91,2,1,-6.56,-6.56,543
609,沙漠之鹰 | 日落风暴 弐 (略有磨损),略有磨损,受限,3699.0,5538.7,6,9,-13.96,-21.26,674
610,沙漠之鹰 | 日落风暴 弐 (破损不堪),破损不堪,受限,3500.0,0,1,1,,,50
611,沙漠之鹰 | 都市 DDPAT (战痕累累),战痕累累,工业级,14.13,22.5,37,2,-9.13,-8.13,10609
612,沙漠之鹰 | 都市 DDPAT (崭新出厂),崭新出厂,工业级,250.0,280.0,18,13,-3.85,-25.35,1148
613,沙漠之鹰 | 都市 DDPAT (久经沙场),久经沙场,工业级,13.88,20.04,53,55,-4.76,-48.01,49118
614,沙漠之鹰 | 都市 DDPAT (略有磨损),略有磨损,工业级,59.0,69.25,100,13,+67.71,-52.42,21035
615,沙漠之鹰 | 都市 DDPAT (破损不堪),破损不堪,工业级,17.91,19.38,24,6,+0.90,-18.59,8122
616,沙漠之鹰 | 都市瓦砾 (战痕累累),战痕累累,军规级,2.86,3.53,77,48,-6.84,+43.72,28180
617,沙漠之鹰 | 都市瓦砾 (崭新出厂),崭新出厂,军规级,9.07,11.82,524,157,+36.19,-0.66,306000
618,沙漠之鹰 | 都市瓦砾 (略有磨损),略有磨损,军规级,2.0,3.34,225,88,+12.36,-2.44,267867
619,沙漠之鹰 | 都市瓦砾 (破损不堪),破损不堪,军规级,2.0,2.64,40,42,+7.53,+9.89,34939
620,2013年 DreamHack 纪念包,,普通级,15000.0,9495.12,1,20,,,
621,2014年 DreamHack 锦标赛死城之迷纪念包,,普通级,0,6465.57,0,20,,,
623,2014年 DreamHack 锦标赛炙热沙城 II 纪念包,,普通级,0,5070.85,0,50,,,
758,法玛斯 | 厄运之喵 (久经沙场),久经沙场,军规级,83.98,125.12,17,2,-1.01,-5.51,3756
759,法玛斯 | 厄运之喵 (略有磨损),略有磨损,军规级,332.5,368.53,19,11,+138.71,+93.04,23565
760,法玛斯 | 蓝巢 (崭新出厂),崭新出厂,军规级,183.83,241.4,35,12,+31.32,-11.62,14110
761,法玛斯 | 蓝巢 (久经沙场),久经沙场,军规级,18.88,29.38,51,14,-4.21,-8.39,11872
762,法玛斯 | 蓝巢 (略有磨损),略有磨损,军规级,22.12,29.37,29,6,-1.43,-9.38,11407
763,法玛斯 | 死亡之舞 (战痕累累),战痕累累,军规级,34.0,35.94,11,4,-13.92,-14.94,2718
764,法玛斯 | 死亡之舞 (崭新出厂),崭新出厂,军规级,158.66,219.94,32,7,+33.40,-20.66,6942
765,法玛斯 | 死亡之舞 (久经沙场),久经沙场,军规级,29.29,43.59,21,7,-22.72,-18.50,15110
766,法玛斯 | 死亡之舞 (略有磨损),略有磨损,军规级,54.79,62.16,28,5,-8.12,-16.61,8420
767,法玛斯 | 死亡之舞 (破损不堪),破损不堪,军规级,32.6,38.24,34,102,-5.23,-13.78,1478
768,法玛斯 | 机械工业 (战痕累累),战痕累累,保密,197.97,279.88,14,3,-13.28,-14.59,4298
769,法玛斯 | 机械工业 (崭新出厂),崭新出厂,保密,974.5,1424.23,70,11,+26.89,+36.40,68870
770,法玛斯 | 机械工业 (久经沙场),久经沙场,保密,210.0,304.63,186,34,+14.75,-15.49,133434
771,法玛斯 | 机械工业 (略有磨损),略有磨损,保密,284.0,378.72,449,43,+24.84,-4.70,145114
772,法玛斯 | 机械工业 (破损不堪),破损不堪,保密,202.0,268.89,16,3,-0.95,-15.44,7995
773,法玛斯 | 神经网 (战痕累累),战痕累累,受限,6.91,10.77,14,5,+3.44,-3.89,10422
774,法玛斯 | 神经网 (崭新出厂),崭新出厂,受限,100.3,138.06,122,19,+23.83,-22.78,40954
775,法玛斯 | 神经网 (久经沙场),久经沙场,受限,6.38,10.62,94,5,+12.13,-12.48,110479
776,法玛斯 | 神经网 (略有磨损),略有磨损,受限,11.8,17.27,166,19,-1.42,-25.08,78513
777,法玛斯 | 神经网 (破损不堪),破损不堪,受限,9.99,12.7,18,1,-0.10,-4.68,8151
778,法玛斯 | 电子脉冲 (崭新出厂),崭新出厂,受限,282.33,404.19,197,24,+11.01,-21.35,44866
779,法玛斯 | 电子脉冲 (久经沙场),久经沙场,受限,64.87,91.0,33,46,-6.63,-10.54,16209
780,法玛斯 | 电子脉冲 (略有磨损),略有磨损,受限,70.0,101.06,101,7,-2.78,-11.28,34071
781,法玛斯 | 电子脉冲 (破损不堪),破损不堪,受限,198.0,120.08,2,3,,,699
782,法玛斯 | 防滚架 (战痕累累),战痕累累,隐秘,651.89,978.6,26,6,+12.49,-4.76,27110
783,法玛斯 | 防滚架 (崭新出厂),崭新出厂,隐秘,1136.0,1840.19,67,20,+13.60,-25.70,6144
784,法玛斯 | 防滚架 (久经沙场),久经沙场,隐秘,715.0,1016.4,144,40,+10.34,-4.66,106257
785,法玛斯 | 防滚架 (略有磨损),略有磨损,隐秘,750.0,1117.34,140,57,+16.82,-3.10,42310
786,法玛斯 | 防滚架 (破损不堪),破损不堪,隐秘,675.98,997.55,22,10,+13.64,-7.08,36845
787,法玛斯 | 中士 (战痕累累),战痕累累,受限,15.38,19.92,29,13,+33.28,-0.45,39056
788,法玛斯 | 中士 (久经沙场),久经沙场,受限,18.12,27.75,111,10,+17.97,-7.08,85809
789,法玛斯 | 中士 (略有磨损),略有磨损,受限,245.0,309.65,32,9,+64.21,+23.74,6444
790,法玛斯 | 中士 (破损不堪),破损不堪,受限,15.4,21.89,25,3,-3.75,-3.63,15180
791,法玛斯 | 喷焰者 (战痕累累),战痕累累,受限,277.0,184.72,8,1,,,538
792,法玛斯 | 喷焰者 (崭新出厂),崭新出厂,受限,2500.0,4304.76,6,4,,-16.67,269
793,法玛斯 | 喷焰者 (久经沙场),久经沙场,受限,149.63,232.1,30,3,-0.66,-4.39,3811
794,法玛斯 | 喷焰者 (略有磨损),略有磨损,受限,678.97,784.58,8,1,-0.15,+17.06,1302
795,法玛斯 | 喷焰者 (破损不堪),破损不堪,受限,332.99,209.93,2,1,,,315
796,法玛斯 | 冥界之憎 (战痕累累),战痕累累,受限,124.0,127.35,5,4,-0.48,+0.81,1734
797,法玛斯 | 冥界之憎 (崭新出厂),崭新出厂,受限,945.4,1339.98,52,12,+16.72,-34.80,13130
798,法玛斯 | 冥界之憎 (久经沙场),久经沙场,受限,83.88,121.83,80,10,+5.62,-34.72,16888
799,法玛斯 | 冥界之憎 (略有磨损),略有磨损,受限,198.96,245.68,74,10,+28.11,-33.59,11945
800,法玛斯 | 冥界之憎 (破损不堪),破损不堪,受限,100.0,132.06,11,8,,-9.09,932
801,法玛斯 | 幸存者 Z (战痕累累),战痕累累,军规级,2.19,3.63,38,117,+10.05,+22.35,30619
852,FN57 | 热火朝天 (破损不堪),破损不堪,工业级,20.02,27.3,45,2,-17.00,-6.32,14369
853,FN57 | 暴怒野兽 (战痕累累),战痕累累,隐秘,1969.5,2260.51,5,1,,-5.02,1706
854,FN57 | 暴怒野兽 (崭新出厂),崭新出厂,隐秘,3700.0,0,35,2,+17.54,-7.73,1391
855,FN57 | 暴怒野兽 (久经沙场),久经沙场,隐秘,2255.4,2828.83,44,6,+19.50,-0.86,7080
856,FN57 | 暴怒野兽 (略有磨损),略有磨损,隐秘,2650.0,3616.36,30,4,+6.04,-14.40,5243
857,FN57 | 暴怒野兽 (破损不堪),破损不堪,隐秘,1866.0,2391.42,8,1,-1.73,-11.58,2773
908,FN57 | 霸意大名 (战痕累累),战痕累累,军规级,2.15,3.82,50,82,+14.97,+14.97,61763
909,FN57 | 霸意大名 (久经沙场),久经沙场,军规级,2.86,4.77,236,112,+10.85,+20.17,361910
910,FN57 | 霸意大名 (略有磨损),略有磨损,军规级,4.92,6.96,247,52,+10.68,+22.05,225766
911,FN57 | 霸意大名 (破损不堪),破损不堪,军规级,2.71,4.4,34,57,-2.17,+6.28,23725
912,G3SG1 | 极寒迷彩 (战痕累累),战痕累累,工业级,520.0,300.31,3,3,+4.10,,548
913,G3SG1 | 极寒迷彩 (崭新出厂),崭新出厂,工业级,1100.0,4549.69,5,1,,-41.72,124
914,G3SG1 | 极寒迷彩 (久经沙场),久经沙场,工业级,500.0,277.09,7,3,+127.27,-83.33,2649
915,G3SG1 | 极寒迷彩 (略有磨损),略有磨损,工业级,999.99,395.73,3,3,+42.96,+104.92,935
916,G3SG1 | 极寒迷彩 (破损不堪),破损不堪,工业级,0,318.47,0,2,,,460
917,G3SG1 | 碧蓝斑纹 (崭新出厂),崭新出厂,军规级,36.48,42.75,44,13,+50.74,-2.80,16730
918,G3SG1 | 碧蓝斑纹 (久经沙场),久经沙场,军规级,17.0,23.93,15,272,-7.71,+4.94,3597
919,G3SG1 | 碧蓝斑纹 (略有磨损),略有磨损,军规级,19.37,27.67,13,16,-0.36,-0.51,13231
920,G3SG1 | 柯罗诺斯 (崭新出厂),崭新出厂,受限,2499.5,3623.35,10,6,,-3.87,644
921,G3SG1 | 雇佣兵 (战痕累累),战痕累累,消费级,250.0,90.71,3,2,,+657.58,1237
922,G3SG1 | 雇佣兵 (崭新出厂),崭新出厂,消费级,300.0,636.95,7,3,-62.48,-69.89,320
923,G3SG1 | 雇佣兵 (久经沙场),久经沙场,消费级,18.3,25.11,15,1,+1.05,-0.49,5683
924,G3SG1 | 雇佣兵 (破损不堪),破损不堪,消费级,880.0,156.88,4,1,-0.90,-0.90,877
925,G3SG1 | 丰饶女神 (战痕累累),战痕累累,军规级,39.6,44.33,15,2,+80.00,-5.71,2377
926,G3SG1 | 丰饶女神 (崭新出厂),崭新出厂,军规级,294.99,204.72,6,5,+31.11,+69.54,310
927,G3SG1 | 丰饶女神 (久经沙场),久经沙场,军规级,31.16,45.25,44,7,-8.72,-30.30,10768
928,G3SG1 | 丰饶女神 (略有磨损),略有磨损,军规级,43.1,61.48,15,7,-0.90,-10.65,4105
929,G3SG1 | 丰饶女神 (破损不堪),破损不堪,军规级,43.0,36.94,8,1,-16.34,-16.67,1649
930,G3SG1 | 沙漠风暴 (战痕累累),战痕累累,消费级,0.02,0.21,300,500,-33.33,-33.33,801373
931,G3SG1 | 沙漠风暴 (崭新出厂),崭新出厂,消费级,6.0,8.18,45,519,+15.61,-18.92,41214
932,G3SG1 | 沙漠风暴 (久经沙场),久经沙场,消费级,0.03,0.21,877,279,-25.00,+50.00,3631290
933,G3SG1 | 沙漠风暴 (略有磨损),略有磨损,消费级,0.19,0.48,316,1110,+11.77,-17.39,1050145
934,G3SG1 | 沙漠风暴 (破损不堪),破损不堪,消费级,0.02,0.21,162,45,,-33.33,526441
935,G3SG1 | 弗卢克斯 (战痕累累),战痕累累,保密,44.42,62.48,25,4,-1.05,+5.14,5744
936,G3SG1 | 弗卢克斯 (崭新出厂),崭新出厂,保密,272.88,415.87,49,13,-3.88,-11.11,4748
937,G3SG1 | 弗卢克斯 (久经沙场),久经沙场,保密,45.03,60.06,49,4,+9.96,+0.07,28983
938,G3SG1 | 弗卢克斯 (略有磨损),略有磨损,保密,73.18,122.02,86,6,+10.04,-16.75,13615
939,G3SG1 | 弗卢克斯 (破损不堪),破损不堪,保密,42.5,60.58,12,4,-2.12,-11.46,4544
940,G3SG1 | 绿苹果 (崭新出厂),崭新出厂,工业级,2.0,3.36,470,537,+19.76,+35.13,768099
941,G3SG1 | 绿苹果 (久经沙场),久经沙场,工业级,0.59,0.73,124,187,+3.51,+3.51,231553
942,G3SG1 | 绿苹果 (略有磨损),略有磨损,工业级,0.63,0.98,199,651,+14.54,+26.00,987990
943,G3SG1 | 猎人 (战痕累累),战痕累累,军规级,1.03,3.06,38,201,+7.29,+18.39,87333
944,G3SG1 | 猎人 (崭新出厂),崭新出厂,军规级,9.74,13.8,74,77,+9.93,-34.63,24088
945,G3SG1 | 猎人 (久经沙场),久经沙场,军规级,1.47,3.33,79,53,+13.95,+7.30,184795
946,G3SG1 | 猎人 (略有磨损),略有磨损,军规级,1.63,2.99,107,85,-6.86,-30.64,134281
947,G3SG1 | 猎人 (破损不堪),破损不堪,军规级,0.87,5.59,44,237,-10.31,+4.82,127484
948,G3SG1 | 丛林虚线 (战痕累累),战痕累累,消费级,0.1,0.21,83,522,-16.67,-16.67,597993
949,G3SG1 | 丛林虚线 (崭新出厂),崭新出厂,消费级,12.3,18.47,28,139,+36.67,-10.87,27581
950,G3SG1 | 丛林虚线 (久经沙场),久经沙场,消费级,0.05,0.7,435,1514,+25.00,,2691480
951,G3SG1 | 丛林虚线 (略有磨损),略有磨损,消费级,0.4,0.56,287,569,+60.00,+60.00,789665
952,G3SG1 | 丛林虚线 (破损不堪),破损不堪,消费级,0.08,0.21,38,88,-11.11,+33.33,390068
953,G3SG1 | 黑暗豹纹 (崭新出厂),崭新出厂,军规级,32.7,37.28,32,22,+58.05,+36.31,32732
